id,id_empresa,nome
2,4,DIVERSOS
3,4,PNEU-ROSAVA
950,4,MEC PAR
25,4,TENSIONADOR-A/DAYCO/INA/SKF/RA/NITRON
946,4,SNR
947,4,IPIRANGA
948,4,COFAP(SPA)
916,4,COBREQ
917,4,MDS
903,4,TECFIL
75,4,RODA-BRW
951,4,FRAM
83,4,CASALE
913,4,BORFLEX
907,4,CONTITECH
908,4,VTO
128,4,COMPETTI
130,4,MICHELAN
131,4,CONTINENTAL
942,4,FREMAX
943,4,ATE
944,4,WEBER
945,4,KBC
934,4,BACURITY
174,4,DUNLOP
904,4,SKF
905,4,FAG
199,4,ROLAMENTO PASSEIO-SKF/SABO/FAG/INA/LUCAS
201,4,FATE
202,4,RODA-FERRARO
229,4,FIRESTONE
932,4,WEGA
311,4,GOODYEAR
935,4,ZAP
387,4,RODA-KR
390,4,RODA-KROMMA
397,4,LUBRAX
933,4,FRASLE
909,4,MAN
403,4,MAGION
418,4,MARSHAL
430,4,MAXXIS
911,4,NGK
906,4,SNR
488,4,MR/SHOPPIN
500,4,NEXEN
510,4,RODA-NOOVA
532,4,RODA-PEGASUS
563,4,PNEU-PIRELLI
599,4,PNEU-RODABEM
600,4,RODA-RODABRAS
602,4,PNEU-ROTALLA
607,4,SABO
615,4,RODA-SCORRO
618,4,SHANA
619,4,SHELL
626,4,ROLAMENTO VAN-SKF/KDC
954,4,FIRST
929,4,DRIVE
931,4,CAFLEX
902,4,METAL LEVE
674,4,RODA-TSW
953,4,GRN
681,4,VALCLEI
682,4,RADIADOR-VALEO/VISCONDE/RITCH
690,4,RODA-VASKA
737,4,WAHLER
927,4,GRAZZIMETAL
928,4,AUTHOMIX
912,4,CORVEN
751,4,GOODRIDE
752,4,OVATION
956,4,INA
936,4,ORIG PARTS
761,4,KUMHO
762,4,LING LONG
768,4,GIENEX
957,4,ISOFLEX
924,4,DHF
925,4,ALLIEN
926,4,URBA
781,4,IMPORTADO
938,4,AXIOS
939,4,CINDUMEL
940,4,BOSCH
941,4,COBRA
789,4,PROTETOR CARTER-DHF
791,4,ROLAMENTO PASSEIO-LUCCA/KOYO/VDO
952,4,CIBIE/VALEO
921,4,NAKATA
922,4,SHIMEC
923,4,BORTEC
797,4,ORIGINAL
910,4,MONROE
799,4,METZELER
920,4,AUTO STAR
914,4,PERFECT
883,4,GT
884,4,RECAPEX
955,4,GAP
886,4,ELAION
958,4,LUCK
959,4,GIRAPARTS
960,4,SPEEDBRACK
888,4,MOTUL
889,4,DAYCO
892,4,BENDIX
893,4,COFAP
894,4,LONAFLEX
895,4,SYL
897,4,HIPPER
898,4,DYNA
899,4,TRW
900,4,VALLIFLEX
901,4,VIBRASIL
961,4,AELUS
