id;codigo;registro_uso;registro_uso_usuario;fantasia;razao;ie;ie_inddest;documento;fixo_1;fixo_2;fixo_3_contato;fixo_3;endereco;numero;bairro;complemento;codigo_cidade;cidade;estado;cep;email;observacoes
1;0-00001;N;;ROLES;CAR CENTRAL DE AUTO PECAS E ROL.LTDA;244098452112;9-NAO CONTR;62.395.546/0009-01;(19) 2101 - 6060;(19) 2101 - 6009;DANILO/MAURO;;RUA ESTACIO DE SA;700;JARDIM SANTA GENEBRA;;3509502;CAMPINAS;SP;13080-010;;"BRASIL AG:3322-7/CONTA 1954-2 11) 7010 - 263  (19) 2101 6066   MAURO"
2;0-00002;N;;METALSYSTEM DISTDE AUTO PECAS LTDA;METALSYSTEM DISTDE AUTO PECAS LTDA;112654758119;9-NAO CONTR;62.636.105/0001-99;(08) 0012 - 8455;;JONATAN;;RUA CALANDRA;500;VILA GERMINAL;;3550308;SAO PAULO;SP;02275-000;metalsystem-pecas.com.br;
3;0-00003;N;;SHOPPING DAS BORRACHAS LTDA-EPP;SHOPPING DAS BORRACHAS LTDA-EPP;417144723112;9-NAO CONTR;02.146.986/0001-38;(19) 3446 - 4500;(19) 3446 - 4500;;;RUA LIMEIRA;900;JD.HORTENCIA;;3526902;LIMEIRA;SP;13485-002;SILVIOSHOPPINBORRACHAS.COM.BR;
2637;fev/37;N;NULL;YIMING PARTS;YIMING PARTS;417487560111;9-NAO CONTR;;(11) 2082 - 3808;;CRISTIANO/011-953677102;;RUA EUGENIA DE CARVALHO;1544;VILA MATILDE;;3550308;SAO PAULO;SP;03516-000;www.yiming.com.br;
4;0-00004;N;NULL;TRANSPORTE-RODOMEN ;TRANSPORTE-RODOMEN ;;9-NAO CONTR;;(16) 3361 - 3109;;;;R COMENDADOR PEDRO MORGANTI 3575;;SANTA ANGELINA ;;;SAO CARLOS;SP;14802-140;;
6;0-00006;N;NULL;TEBAO E COMER PREPARACAO AMORTECEDORES L;TEBAO E COMER PREPARACAO AMORTECEDORES L;;9-NAO CONTR;06.312.298/0001-51;(11) 4479 - 6267;(11) 7206 - 1070;;;AVENIDA NEVADA 268;;PQ NOVO HORATORIO;;;SANTO ANDRE;SP;09250-490;;
7;0-00007;N;;TUPER-ESCAPAMENTOS;TUPER DISTR.ESCAP S/A;67116383119;9-NAO CONTR;11.081.096/0003-48;(19) 3601 - 3516;;VENDAS-GIOVANA;(19) 9772 - 0524;AV.DA AMIZADE;4346;NOVA VENEZA;;3509502;CAMPINAS;SP;13170-000;;PAULO(19)9767-4875
8;0-00008;N;NULL;SCHOK RODAS MARTINS METALURGICA LTDA;RODA-SCHOK;29029735;9-NAO CONTR;69.281.141/0001-23;(__) 4224 - 1506;(__) 4224 - 3215;ZE ROBERTO;;AV RUBEM BENTO ALVES 4094;;B SAO JOSE;;;CAXIAS DOS UL;RS;95032-440;schok@schok.com.br;
9;0-00009;N;;DISTRIBUIDOR-CARLTON;COMERCIAL CARLTON LTDA;;9-NAO CONTR;;;;;;R.CASTRO ALVES 1512;;CARMO;;;ARARAQUARA ;SP;13565-400;;
11;0-00011;N;;FRANK ACESSORIOS;FRANK ACESSORIOS;;9-NAO CONTR;;(19) 8877 - 3666;;97*118275 - NEXTEL;;RUA SANTO SIVIERO 665;;JD SAO PEDRO;;3503307;ARARAS;SP;_____-___;frank.scap@yahoo.com.br;
