id;registro_uso;registro_uso_usuario;codigo;nome;editar;grupo_codigo;grupo_nome;tempo_minimo;tempo_maximo;comissao_geral;comissao_tempo_abaixo;comissao_tempo_padrao;comissao_tempo_acima;valor_venda;observacoes;retorno_controle;vida_util_mes;vida_util_km;nfse_codigo;nfse_atividade;nfse_aliquota
3;N;;04/mar;BALANCEAMENTO-CARRO;NAO;04/mai;BALANCEAMENTO-TODOS;00:00:00;00:00:00;0;0;0;0;12.5;;SIM;365;10000;NULL;NULL;0
4;N;;04/abr;ALINHAMENTO-TRASEIRO;NAO;04/set;RAMPA TRASEI;00:00:00;00:00:00;0;0;0;0;60;;SIM;0;0;NULL;NULL;0
5;N;;04/mai;ALINHAMENTO-PICK-UP/VANS;NAO;04/mar;ALINHAMENTOS DDE;00:00:00;00:00:00;0;0;0;0;60;;SIM;365;10000;NULL;NULL;0
8;N;;04/ago;ALINHAMENTO TECNICO-EIXO TRASEIRO;NAO;04/set;RAMPA TRASEI;00:00:00;00:00:00;0;0;0;0;280;;SIM;0;0;NULL;NULL;0
9;N;;04/set;BALANCEAMENTO-LOCAL;NAO;04/mai;BALANCEAMENTO-TODOS;00:00:00;00:00:00;0;0;0;0;20;;SIM;365;10000;NULL;NULL;0
75;N;NULL;abr/75;CAMBAGEM L.D (TRAS.);NAO;04/set;RAMPA TRASEI;00:00:00;00:00:00;0;0;0;0;80;;SIM;0;0;NULL;NULL;0
11;N;NULL;04/nov;BORRACHARIA-MONTAR/DESMONTAR PNEU;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;5;;SIM;0;0;NULL;NULL;0
12;N;;04/dez;CAMBAGEM L.D;NAO;04/jun;RAMPA DIANT;00:00:00;00:00:00;0;0;0;0;80;LOJA 1;NAO;0;0;NULL;NULL;0
13;N;;abr/13;CAMBAGEM L.E;NAO;04/jun;RAMPA DIANT;00:00:00;00:00:00;0;0;0;0;80;LOJA 1;SIM;0;0;NULL;NULL;0
15;N;;abr/15;CASTER L.D;NAO;04/jun;RAMPA DIANT;00:00:00;00:00:00;0;0;0;0;80;LOJA 1;SIM;0;0;NULL;NULL;0
16;N;NULL;abr/16;CASTER L.E.;NAO;04/jun;RAMPA DIANT;00:00:00;00:00:00;0;0;0;0;80;LOJA 1;SIM;0;0;NULL;NULL;0
18;N;NULL;abr/18;LIMPEZA/BICO INJETOR-(16V);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;160;;SIM;0;0;NULL;NULL;0
19;N;NULL;abr/19;LIMPEZA/BICO INJETOR-(8V);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;120;;SIM;0;0;NULL;NULL;0
20;N;;abr/20;LIMPEZA/TROCA ADITIVO-SISTEMA ARREFECIMENTO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;80;;SIM;0;0;NULL;NULL;0
21;N;NULL;abr/21;REGULAGEM TECNICA-FAROL;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;10;;SIM;0;0;NULL;NULL;0
22;N;NULL;abr/22;RODIZIO DE PNEU-VANS/PICKS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;30;;SIM;0;0;NULL;NULL;0
23;N;NULL;abr/23;LIMPEZA/TROCA-FLUIDO FREIO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;50;;SIM;0;0;NULL;NULL;0
26;N;;abr/26;FREIO TRASEIRO-AUTO(RETIFICA TAMBOR+LONA);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;220;;SIM;0;0;NULL;NULL;0
28;N;;abr/28;ALINHAMENTO-AUTO;NAO;04/mar;ALINHAMENTOS DDE;00:00:00;00:00:00;0;0;0;0;40;;SIM;365;10000;NULL;NULL;0
29;N;NULL;abr/29;DESEMPENO RODA-13,14,15;NAO;04/jul;DESEMPENO;00:00:00;00:00:00;0;0;0;0;30;;SIM;0;0;NULL;NULL;0
30;N;NULL;abr/30;DESEMPENO RODA-16,17;NAO;04/jul;DESEMPENO;00:00:00;00:00:00;0;0;0;0;35;;SIM;0;0;NULL;NULL;0
31;N;NULL;abr/31;DESEMPENO RODA-18,20;NAO;04/jul;DESEMPENO;00:00:00;00:00:00;0;0;0;0;50;;SIM;0;0;NULL;NULL;0
32;N;NULL;abr/32;MONTAGEM-PNEU ARO 13/14/15/16;NAO;04/ago;MONTAGEM;00:00:00;00:00:00;0;0;0;0;7;;SIM;0;0;NULL;NULL;0
34;N;NULL;abr/34;REFORMA RODA-(4);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;250;;SIM;0;0;NULL;NULL;0
36;N;NULL;abr/36;LUBRIFICACAO-SUSPENSAO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;40;;SIM;0;0;NULL;NULL;0
39;N;NULL;abr/39;SEGURO DE PNEU ARO 13;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;25;;SIM;0;0;NULL;NULL;0
