indice,registro_uso,registro_uso_usuario,codigo,nome,observa
2,N,NULL,4-2,DIVERSOS,NULL
3,N,NULL,4-3,PNEU-ROSAVA,NULL
950,N,NULL,4-950,MEC PAR,NULL
25,N,NULL,4-25,TENSIONADOR-A/DAYCO/INA/SKF/RA/NITRON,NULL
946,N,NULL,4-946,SNR,NULL
947,N,NULL,4-947,IPIRANGA,NULL
948,N,NULL,4-948,COFAP(SPA),NULL
916,N,NULL,4-916,COBREQ,NULL
917,N,NULL,4-917,MDS,NULL
903,N,NULL,4-903,TECFIL,NULL
75,N,NULL,4-75,RODA-BRW,NULL
951,N,NULL,4-951,FRAM,NULL
83,N,NULL,4-83,CASALE,NULL
913,N,NULL,4-913,BORFLEX,NULL
907,N,NULL,4-907,CONTITECH,NULL
908,N,NULL,4-908,VTO,NULL
128,N,NULL,4-128,COMPETTI,NULL
130,N,NULL,4-130,MICHELAN,NULL
131,N,NULL,4-131,CONTINENTAL,NULL
942,N,NULL,4-942,FREMAX,NULL
943,N,NULL,4-943,ATE,NULL
944,N,NULL,4-944,WEBER,NULL
945,N,NULL,4-945,KBC,NULL
934,N,NULL,4-934,BACURITY,NULL
174,N,NULL,4-174,DUNLOP,NULL
904,N,NULL,4-904,SKF,NULL
905,N,NULL,4-905,FAG,NULL
199,N,NULL,4-199,ROLAMENTO PASSEIO-SKF/SABO/FAG/INA/LUCAS,NULL
201,N,NULL,4-201,FATE,NULL
202,N,NULL,4-202,RODA-FERRARO,NULL
229,N,NULL,4-229,FIRESTONE,NULL
932,N,NULL,4-932,WEGA,NULL
311,N,NULL,4-311,GOODYEAR,NULL
935,N,NULL,4-935,ZAP,NULL
387,N,NULL,4-387,RODA-KR,NULL
390,N,NULL,4-390,RODA-KROMMA,NULL
397,N,NULL,4-397,LUBRAX,NULL
933,N,NULL,4-933,FRASLE,NULL
909,N,NULL,4-909,MAN,NULL
403,N,NULL,4-403,MAGION,NULL
418,N,NULL,4-418,MARSHAL,NULL
430,N,NULL,4-430,MAXXIS,NULL
911,N,NULL,4-911,NGK,NULL
906,N,NULL,4-906,SNR,NULL
488,N,NULL,4-488,MR/SHOPPIN,NULL
500,N,NULL,4-500,NEXEN,NULL
510,N,NULL,4-510,RODA-NOOVA,NULL
532,N,NULL,4-532,RODA-PEGASUS,NULL
563,N,NULL,4-563,PNEU-PIRELLI,NULL
599,N,NULL,4-599,PNEU-RODABEM,NULL
600,N,NULL,4-600,RODA-RODABRAS,NULL
602,N,NULL,4-602,PNEU-ROTALLA,NULL
607,N,NULL,4-607,SABO,NULL
615,N,NULL,4-615,RODA-SCORRO,NULL
618,N,NULL,4-618,SHANA,NULL
619,N,NULL,4-619,SHELL,NULL
626,N,NULL,4-626,ROLAMENTO VAN-SKF/KDC,NULL
954,N,NULL,4-954,FIRST,NULL
929,N,NULL,4-929,DRIVE,NULL
931,N,NULL,4-931,CAFLEX,NULL
902,N,NULL,4-902,METAL LEVE,NULL
674,N,NULL,4-674,RODA-TSW,NULL
953,N,NULL,4-953,GRN,NULL
681,N,NULL,4-681,VALCLEI,NULL
682,N,NULL,4-682,RADIADOR-VALEO/VISCONDE/RITCH,NULL
690,N,NULL,4-690,RODA-VASKA,NULL
737,N,NULL,4-737,WAHLER,NULL
927,N,NULL,4-927,GRAZZIMETAL,NULL
928,N,NULL,4-928,AUTHOMIX,NULL
912,N,NULL,4-912,CORVEN,NULL
751,N,NULL,4-751,GOODRIDE,NULL
752,N,NULL,4-752,OVATION,NULL
956,N,NULL,4-956,INA,NULL
936,N,NULL,4-936,ORIG PARTS,NULL
761,N,NULL,4-761,KUMHO,NULL
762,N,NULL,4-762,LING LONG,NULL
768,N,NULL,4-768,GIENEX,NULL
957,N,NULL,4-957,ISOFLEX,NULL
924,N,NULL,4-924,DHF,NULL
925,N,NULL,4-925,ALLIEN,NULL
926,N,NULL,4-926,URBA,NULL
781,N,NULL,4-781,IMPORTADO,NULL
938,N,NULL,4-938,AXIOS,NULL
939,N,NULL,4-939,CINDUMEL,NULL
940,N,NULL,4-940,BOSCH,NULL
941,N,NULL,4-941,COBRA,NULL
789,N,NULL,4-789,PROTETOR CARTER-DHF,NULL
791,N,NULL,4-791,ROLAMENTO PASSEIO-LUCCA/KOYO/VDO,NULL
952,N,NULL,4-952,CIBIE/VALEO,NULL
921,N,NULL,4-921,NAKATA,NULL
922,N,NULL,4-922,SHIMEC,NULL
923,N,NULL,4-923,BORTEC,NULL
797,N,NULL,4-797,ORIGINAL,NULL
910,N,NULL,4-910,MONROE,NULL
799,N,NULL,4-799,METZELER,NULL
920,N,NULL,4-920,AUTO STAR,NULL
914,N,NULL,4-914,PERFECT,NULL
883,N,NULL,4-883,GT,NULL
884,N,NULL,4-884,RECAPEX,NULL
955,N,NULL,4-955,GAP,GENERAL AUTO PARTS
886,N,NULL,4-886,ELAION,NULL
958,N,NULL,4-958,LUCK,NULL
959,N,NULL,4-959,GIRAPARTS,NULL
960,N,NULL,4-960,SPEEDBRACK,NULL
888,N,NULL,4-888,MOTUL,NULL
