id,id_empresa,ativo,pessoa,fantasia,razao,nome,documento,ie,telefone1,telefone2,email,site,cep,estado,codigo_cidade,cidade,bairro,endereco,numero,complemento,observacoes,deletado
1,1,1,0,ROLES,CAR CENTRAL DE AUTO PECAS E ROL.LTDA,CAR CENTRAL DE AUTO PECAS E ROL.LTDA,62.395.546/0009-01,244098452112,(19) 2101 - 6060,(19) 2101 - 6009,NULL,NULL,13080-010,SP,3509502,CAMPINAS,JARDIM SANTA GENEBRA,RUA ESTACIO DE SA,700,NULL,BRASIL AG:3322-7/CONTA 1954-2 11) 7010 - 263  (19) 2101 6066   MAURO,0
2,2,1,0,METALSYSTEM DISTDE AUTO PECAS LTDA,METALSYSTEM DISTDE AUTO PECAS LTDA,METALSYSTEM DISTDE AUTO PECAS LTDA,62.636.105/0001-99,112654758119,(08) 0012 - 8455,NULL,metalsystem-pecas.com.br,metalsystem-pecas.com.br,02275-000,SP,3550308,SAO PAULO,VILA GERMINAL,RUA CALANDRA,500,NULL,NULL,0
3,3,1,0,SHOPPING DAS BORRACHAS LTDA-EPP,SHOPPING DAS BORRACHAS LTDA-EPP,SHOPPING DAS BORRACHAS LTDA-EPP,02.146.986/0001-38,417144723112,(19) 3446 - 4500,(19) 3446 - 4500,NULL,SILVIOSHOPPINBORRACHAS.COM.BR,13485-002,SP,3526902,LIMEIRA,JD.HORTENCIA,RUA LIMEIRA,900,NULL,NULL,0
2637,2637,1,0,YIMING PARTS,YIMING PARTS,YIMING PARTS,NULL,417487560111,(11) 2082 - 3808,NULL,NULL,www.yiming.com.br,03516-000,SP,3550308,SAO PAULO,VILA MATILDE,RUA EUGENIA DE CARVALHO,1544,NULL,NULL,0
4,4,1,0,TRANSPORTE-RODOMEN ,TRANSPORTE-RODOMEN ,TRANSPORTE-RODOMEN ,NULL,NULL,(16) 3361 - 3109,NULL,NULL,NULL,14802-140,SP,NULL,SAO CARLOS,SANTA ANGELINA ,R COMENDADOR PEDRO MORGANTI 3575,NULL,NULL,NULL,0
6,6,1,0,TEBAO E COMER PREPARACAO AMORTECEDORES L,TEBAO E COMER PREPARACAO AMORTECEDORES L,TEBAO E COMER PREPARACAO AMORTECEDORES L,06.312.298/0001-51,NULL,(11) 4479 - 6267,(11) 7206 - 1070,NULL,NULL,09250-490,SP,NULL,SANTO ANDRE,PQ NOVO HORATORIO,AVENIDA NEVADA 268,NULL,NULL,NULL,0
7,7,1,0,TUPER-ESCAPAMENTOS,TUPER DISTR.ESCAP S/A,TUPER DISTR.ESCAP S/A,11.081.096/0003-48,67116383119,(19) 3601 - 3516,NULL,NULL,NULL,13170-000,SP,3509502,CAMPINAS,NOVA VENEZA,AV.DA AMIZADE,4346,NULL,PAULO(19)9767-4875,0
8,8,1,0,SCHOK RODAS MARTINS METALURGICA LTDA,RODA-SCHOK,RODA-SCHOK,69.281.141/0001-23,29029735,(__) 4224 - 1506,(__) 4224 - 3215,schok@schok.com.br,NULL,95032-440,RS,NULL,CAXIAS DOS UL,B SAO JOSE,AV RUBEM BENTO ALVES 4094,NULL,NULL,NULL,0
9,9,1,0,DISTRIBUIDOR-CARLTON,COMERCIAL CARLTON LTDA,COMERCIAL CARLTON LTDA,NULL,NULL,NULL,NULL,NULL,NULL,13565-400,SP,NULL,ARARAQUARA ,CARMO,R.CASTRO ALVES 1512,NULL,NULL,NULL,0
11,11,1,0,FRANK ACESSORIOS,FRANK ACESSORIOS,FRANK ACESSORIOS,NULL,NULL,(19) 8877 - 3666,NULL,frank.scap@yahoo.com.br,NULL,NULL,SP,3503307,ARARAS,JD SAO PEDRO,RUA SANTO SIVIERO 665,NULL,NULL,NULL,0
12,12,1,0,DINPAR,DIMPAR DIST.NACIONAL DE PARAFUSOS E PECAS LTDA,DIMPAR DIST.NACIONAL DE PARAFUSOS E PECAS LTDA,68.763.053/0001-44,112046623118,(19) 3576 - 1452,NULL,NULL,NULL,NULL,SAO PAULO,NULL,NULL,NULL,R: SOLDADO JOSE ANTONIO MOREIRA,200,JD.JAPAO,NULL,0
13,13,1,0,PNEU-PASSARE,PNEU-PASSARE,PNEU-PASSARE,NULL,NULL,(19) 3422 - 7881,NULL,NULL,NULL,NULL,PIRACICABA,NULL,NULL,NULL,RUA:DA GLORIA,2450,JD.PAULISTA ,NULL,0
17,17,1,0,DISTRIBUIDORA-ALTERNATIVE LIMEIRA,DISTRIBUIDORA-ALTERNATIVE LIMEIRA,DISTRIBUIDORA-ALTERNATIVE LIMEIRA,NULL,NULL,(19) 3451 - 8616,NULL,NULL,NULL,13560-000,SP,NULL,LIMEIRA,NULL,NULL,NULL,NULL,NULL,0
18,18,1,0,PNEU-BORRACHARIA SAO CARLOS  ,PNEU-BORRACHARIA SAO CARLOS  ,PNEU-BORRACHARIA SAO CARLOS  ,59.606.178/0001-23,637009577112,(16) 3368 - 5357,NULL,NULL,NULL,13570-390,SP,NULL,SAO CARLOS,JD MARACANA,AV GETULIO VARGAS 290,NULL,NULL,NULL,0
20,20,1,0,PNEU-RECAPEX ,PNEU-RECAPEX ,PNEU-RECAPEX ,55.299.440/0001-83,684005653110,(__) 9138 - 9364,NULL,NULL,NULL,NULL,TAQUARITINGA ,NULL,NULL,NULL,AV: VICENTE JOSE PAISE,710,NULL,016-39139708,0
2639,2639,1,0,VADO VADO,VADO AUTO PECAS,VADO AUTO PECAS,NULL,NULL,(16) 2272 - 5888,NULL,NULL,NULL,13560-000,SP,3548906,SAO CARLOS,SANTA FELICIA,RUA CANDIDO DE ARRUDA BOTELHO,1075,NULL,NULL,0
2623,2623,1,0,INFOARA,INFOARA,INFOARA,10.298.423/0001-93,181354607116.,(16) 3114 - 0673,NULL,NULL,NULL,14801-300,SP,3503208,ARARAQUARA,CENTRO,RUA SAO BENTO,2113,NULL,NULL,0
21,21,1,0,WCV EQUIPAMENTOS ELETRONICOS LTDA ,EQUIPAMENTOS/VENDA-WCV,EQUIPAMENTOS/VENDA-WCV,NULL,NULL,(11) 5535 - 7200,(11) 5531 - 8784,wcv@wcv.com.br,NULL,04087-007,SP,NULL,SAO PAULO,MOEMA,ALAMEDA DOS ANAPURUS 1939,NULL,NULL,NULL,0
23,23,1,0,PNEU-BARRELA ,PNEU-BARRELA ,PNEU-BARRELA ,66.120.171/0001-62,637305760112,(17) 3818 - 5999,(17) 9712 - 4089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R: RUI CARLOS GOMES,980,NULL,jmesmarcos@yahoo.com.br,0
24,24,1,0,PNEU-RODABEM,PNEU-RODABEM,PNEU-RODABEM,NULL,NULL,(19) 3432 - 7557,NULL,NULL,NULL,NULL,PIRACICABA ,NULL,NULL,NULL,ROD PIRACICABA -ANHEMBI KM 3,5,NOVA SUICA,NULL,0
25,25,1,0,TRANSPORTE-RM,TRANSPORTE-RM,TRANSPORTE-RM,NULL,NULL,(16) 3366 - 3915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIB PRETO 016 39698300,0
26,26,1,0,COLONIAL CORRETORA DE SEGUROS,RODA-COLONIAL,RODA-COLONIAL,NULL,111135135118,(11) 2173 - 5600,NULL,NULL,NULL,04703-000,SP,NULL,SAO PAULO,MORUMBI,AV MORUMBI 8310,NULL,NULL,AG:1991-7 /28800-4 BRADESCO,0
27,27,1,0,RODA-SB RODAS,RODA-SB RODAS,RODA-SB RODAS,NULL,NULL,NULL,NULL,cilio25@hotmail.com,NULL,08060-370,SP,NULL,SAO PAULO,SAO MIGUEL PAULISTA,R SANTANA DE PIRAPAMA 269,NULL,NULL,NULL,0
29,29,1,0,FUNILARIA-SANTO ANTONIO ,FUNILARIA-SANTO ANTONIO ,FUNILARIA-SANTO ANTONIO ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
31,31,1,0,TRANSPORTE-RODOEXPRESS ,TRANSPORTE-RODOEXPRESS ,TRANSPORTE-RODOEXPRESS ,NULL,NULL,(16) 3332 - 4174,NULL,NULL,NULL,NULL,SP,NULL,ARARAQUARA ,CENTRO,R SAO BENTO 700,NULL,NULL,MIUDEZAS EM GERAL ,0
32,32,1,0,EQUIPAMENTOS/VENDA-D.LEGYDIO,EQUIPAMENTOS/VENDA-D.LEGYDIO,EQUIPAMENTOS/VENDA-D.LEGYDIO,NULL,NULL,(16) 9961 - 2084,NULL,NULL,www.vmmaquinas.com.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CECILIA,0
33,33,1,0,MECANICA-PARATI ,MECANICA-PARATI ,MECANICA-PARATI ,NULL,NULL,(__) 3361 - 3371,NULL,NULL,NULL,13566-340,SP,NULL,SAO CARLOS,VILA MARIANA ,AV PROF LUIS AUGUSTO DE OLIVEIRA 210,NULL,NULL,NULL,0
34,34,1,0,DISTRIBUIDORA-PLATINUM ,DISTRIBUIDORA-PLATINUM ,DISTRIBUIDORA-PLATINUM ,NULL,NULL,(01) 1366 - 5400,NULL,NULL,NULL,NULL,SAO PAULO,NULL,NULL,NULL,AV.DOS ESTADOS,6843,NULL,NULL,0
35,35,1,0,AMORTECEDORES/REMANF-M A  ,AMORTECEDORES/REMANF-M A  ,AMORTECEDORES/REMANF-M A  ,NULL,NULL,(19) 3845 - 3137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
37,37,1,0,PNEU-IMPORTADO(JINYU TIRE),MARCOS BARRELA,MARCOS BARRELA,NULL,NULL,(01) 9997 - 7220,NULL,jmesmarcos@yhoo.com.br,NULL,NULL,NULL,NULL,JALES,NULL,NULL,NULL,NULL,NULL,0
38,38,1,0,FLASH COM DE AUTO PECAS LTDA,RODA-BIG ,RODA-BIG ,02.796.053/0001-96,NULL,(11) 2422 - 3918,NULL,elainnepavao@hotmail.com,NULL,07044-010,SP,NULL,GUARULHOS,VL SAO JOAO,R DONA OLGA 04,NULL,NULL,ELAINE-016-33926281  16-9705 9380  11-2422 39118 JO FINANCEIRO** VINICIUS 8171-0811 BANCO 237 AG:593  C/C: 218397-8    259.520.678-83,0
40,40,1,0,OXI-JUNIOR,GASES-OXI JUNIOR ,GASES-OXI JUNIOR ,NULL,NULL,(16) 3361 - 8025,NULL,NULL,NULL,NULL,SP,NULL,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
41,41,1,0,RODA-ZETTA,RODA-ZETTA,RODA-ZETTA,NULL,NULL,(80) 0600 - 5191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
42,42,1,0,CITROEN-RIO PARTS,CITROEN-RIO PARTS,CITROEN-RIO PARTS,NULL,NULL,(17) 3216 - 410_,(17) 3216 - 6375,NULL,www.rioparts.com.br,NULL,SP,NULL,RIO PRETO,NULL,NULL,NULL,NULL,NULL,0
2977,2977,1,0,PEUGEOT-SAO PAULO,PEUGEOT-SAO PAULO,PEUGEOT-SAO PAULO,NULL,NULL,(11) 2158 - 2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
44,44,1,0,RENAULT-DANTE,RENAULT-DANTE ,RENAULT-DANTE ,NULL,NULL,(16) 3515 - 2000,(__) 3515 - 1247,NULL,NULL,NULL,RIB.PRETO,NULL,NULL,NULL,AV: PRESIDENTE CASTELO BRANCO,1235,PQ.IND.LAGOINHA ,NULL,0
45,45,1,0,SUMAKE PNEUMATIC DO BRASIL,EQUIPAMENTOS/VENDA-SUMAKE,EQUIPAMENTOS/VENDA-SUMAKE,00.930.007/0001-60,562145415111,NULL,NULL,NULL,NULL,19064-210,SP,NULL,PRESIDENTE PRUDENTE ,MARIO AMATO,AV CIDADE FUKUYAMA 279,NULL,NULL,PAULO E FREIRE LEMOS / BRASIL AG 2958-0 CT 43222-2,0
46,46,1,0,DHF IND ECOM LTDA  ,DHF IND ECOM LTDA  ,DHF IND ECOM LTDA  ,NULL,NULL,(__) 8819 - 4060,NULL,NULL,NULL,08597-620,SP,NULL,ITAQUAQUECETUBA,QUINTA DA BOA VISTA ,R FLOR DE LIZ 1000,NULL,NULL,NULL,0
52,52,1,0,CHUMBO-METALURGICA S/A ,CHUMBO-METALURGICA S/A ,CHUMBO-METALURGICA S/A ,NULL,NULL,(16) 3204 - 2040,(16) 3204 - 2040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
54,54,1,0,CATALIZADOR-OG,CATALIZADOR-OG,CATALIZADOR-OG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
57,57,1,0,LABORTECS,LABORTECS,LABORTECS,NULL,NULL,(11) 9990 - 7778,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
59,59,1,0,EXTINTORES-ELICAR,EXTINTORES-ELICAR,EXTINTORES-ELICAR,NULL,NULL,(19) 3219 - 4620,(19) 9219 - 4620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
60,60,1,0,RODA FERRO-RODOBRAS,RODA FERRO-RODOBRAS ,RODA FERRO-RODOBRAS ,NULL,NULL,(19) 3451 - 8393,NULL,NULL,NULL,NULL,SP,NULL,LIMEIRA,NULL,NULL,NULL,NULL,NULL,0
61,61,1,0,SPORT-LINE ,SPORT-LINE ,SPORT-LINE ,NULL,NULL,(__) 1965 - 5318,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
65,65,1,0,WAGNER-FERRAMENTA,FERRAMENTA-WAGNER ,FERRAMENTA-WAGNER ,NULL,NULL,(19) 3452 - 9037,NULL,NULL,NULL,NULL,SP,NULL,LIMEIRA ,NULL,NULL,NULL,NULL,NULL,0
66,66,1,0,PNEU-LEONEL JALES ,PNEU-LEONEL JALES ,PNEU-LEONEL JALES ,NULL,NULL,(17) 9605 - 3236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
73,73,1,0,EAA EQUIP.AUTOMO.ARAUCARIA,EMASTER-ELEVADORES,EMASTER-ELEVADORES,NULL,NULL,(16) 3225 - 5030,(41) 3584 - 1176,etanabe@terra.com.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BRASIL AG.1467-2/CC 7062-9DIONE-041-98193288/13412212,0
74,74,1,0,PNEU-SILCAR,PNEU-SILCAR,PNEU-SILCAR,54.376.462/0001-37,NULL,NULL,(17) 3224 - 0055,carlostz@bol.com.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,JONERSILCARPNEUS.COM.BR,0
76,76,1,0,PNEU-BRASIL ,PNEU-BRASIL ,PNEU-BRASIL ,NULL,NULL,(__) 6628 - 5077,(__) 6628 - 5563,NULL,NULL,13560-000,SP,NULL,RIBEIRAO PRETO,NULL,R SANTOS 1201,NULL,NULL,NULL,0
77,77,1,0,PNEU-MAGION,MAGION S COELHO PNEUMATICOS LTDA,MAGION S COELHO PNEUMATICOS LTDA,NULL,NULL,(11) 3621 - 4160,NULL,NULL,NULL,05108-000,SP,NULL,SAO PAULO,JD MARISA ,R CAPELA DE SANTANA 14,NULL,NULL,NULL,0
